County,Alcohol-Impaired Driving Deaths %,Adult Obesity %,Food Environment Index (0-10),Physically Inactive Adults %,Access to Exercise Opportunities %,Food Insecure %,Limited Access to Healthy Foods %,Insufficient Sleep % (Avg Hours < 7),Uninsured Adults % (Age < 65),Some College % (Adults 25-44),School Segregation Index,Unemployment % (Age >= 16),Median Household Income,Children Single-Parent Households %,Annual Average Violent Crimes,Severe Housing Problems %,Drive Alone to Work %,Drive Alone Long Commute % (Minutes > 30),Homeowners %,Broadband Internet Access %,High School Completion % (Adults >= 25),,,,
AL: Jefferson,14%,34%,6.8,30%,73%,14%,13%,40%,14%,69%,0.36,6.2%,"$57,800",36%,5623,16%,82%,35%,63%,83%,91%,,,,
AL: Lamar,24%,36%,7.1,37%,7%,19%,0%,39%,15%,49%,0.01,4.9%,"$40,200",28%,23,9%,90%,43%,73%,65%,83%,,,,
AL: Lauderdale,18%,33%,7.2,30%,52%,16%,6%,38%,15%,58%,0.2,5.5%,"$52,300",26%,248,12%,86%,32%,68%,77%,89%,,,,
AL: Lawrence,23%,36%,6.8,35%,47%,18%,5%,39%,18%,53%,0.13,4.9%,"$48,900",24%,84,10%,89%,50%,78%,67%,81%,,,,
AL: Lee,30%,34%,6.8,29%,64%,15%,11%,39%,13%,74%,0.1,5.2%,"$59,000",27%,652,19%,83%,28%,63%,85%,90%,,,,
AL: Limestone,25%,34%,7.4,31%,55%,14%,6%,39%,15%,61%,0.08,4.3%,"$70,900",18%,147,11%,89%,42%,77%,83%,85%,,,,
AL: Lowndes,30%,46%,5.1,43%,1%,19%,20%,46%,14%,42%,0.09,13.3%,"$37,500",52%,56,17%,86%,59%,75%,53%,82%,,,,
AL: Macon,28%,40%,5.6,39%,34%,15%,22%,45%,13%,54%,0.06,9.6%,"$37,700",53%,138,18%,85%,39%,65%,67%,84%,,,,
AL: Madison,33%,33%,7.4,28%,68%,13%,9%,38%,11%,75%,0.13,4.6%,"$67,800",27%,2155,12%,85%,27%,68%,88%,92%,,,,
AL: Marengo,25%,44%,6.1,40%,42%,17%,13%,43%,14%,51%,0.17,6.2%,"$43,200",50%,88,14%,86%,36%,70%,66%,85%,,,,
AL: Marion,25%,36%,7,34%,40%,19%,1%,38%,16%,58%,0.06,5.1%,"$44,300",22%,89,12%,87%,27%,76%,70%,81%,,,,
AL: Marshall,21%,38%,6.5,36%,50%,17%,10%,38%,21%,54%,0.16,4.2%,"$51,400",27%,272,14%,86%,33%,73%,84%,83%,,,,
AL: Mobile,33%,36%,6.8,32%,62%,16%,10%,41%,17%,59%,0.26,7.9%,"$50,900",36%,2273,16%,86%,36%,64%,78%,87%,,,,
AL: Monroe,20%,41%,5.8,41%,41%,20%,11%,43%,16%,35%,0.35,8.2%,"$38,800",44%,105,10%,91%,29%,68%,48%,83%,,,,
AL: Montgomery,30%,38%,6.8,32%,59%,15%,11%,43%,15%,65%,0.23,7.8%,"$49,600",44%,1200,18%,83%,21%,58%,83%,87%,,,,
AL: Morgan,19%,35%,7.1,31%,56%,15%,8%,36%,16%,54%,0.21,4.5%,"$55,700",24%,216,12%,89%,34%,72%,77%,84%,,,,
AL: Perry,70%,46%,4.1,43%,52%,20%,28%,45%,16%,42%,,10.9%,"$33,700",67%,22,19%,80%,50%,78%,54%,78%,,,,
AL: Pickens,23%,40%,7.2,38%,4%,18%,1%,42%,15%,50%,0.3,6.5%,"$41,900",44%,35,11%,84%,60%,76%,71%,83%,,,,
AL: Pike,30%,36%,6.5,34%,61%,17%,10%,41%,17%,63%,0.05,4.9%,"$43,100",42%,188,16%,85%,26%,64%,70%,87%,,,,
AL: Randolph,56%,35%,6.5,35%,37%,16%,13%,38%,16%,48%,0.1,4.7%,"$46,700",28%,45,13%,87%,44%,79%,76%,82%,,,,
AL: Russell,17%,39%,6.9,36%,59%,17%,7%,43%,15%,65%,0.06,5.1%,"$40,800",43%,306,17%,85%,38%,60%,74%,85%,,,,
AL: Shelby,22%,30%,8.2,24%,79%,11%,6%,33%,11%,78%,0.07,3.9%,"$88,400",16%,419,10%,84%,50%,80%,91%,93%,,,,
AL: St. Clair,17%,35%,7.8,32%,51%,14%,2%,37%,13%,58%,0.05,4.9%,"$62,000",18%,261,11%,87%,56%,80%,82%,86%,,,,
AL: Sumter,31%,44%,5.9,40%,29%,20%,11%,44%,16%,58%,0.35,7.0%,"$32,300",56%,57,19%,83%,40%,63%,65%,85%,,,,
AL: Talladega,24%,37%,6.8,36%,42%,17%,8%,42%,14%,54%,0.12,7.0%,"$44,800",36%,378,13%,84%,36%,71%,79%,82%,,,,
AL: Tallapoosa,24%,39%,7.3,37%,63%,16%,3%,40%,15%,48%,0.08,6.9%,"$46,700",42%,258,16%,84%,40%,75%,77%,81%,,,,
AL: Tuscaloosa,28%,38%,7.4,31%,74%,14%,7%,42%,12%,65%,0.26,6.6%,"$56,600",34%,819,16%,83%,27%,63%,82%,90%,,,,
AL: Walker,22%,35%,6.8,36%,35%,19%,4%,41%,17%,56%,0.1,5.8%,"$46,500",29%,292,12%,84%,41%,78%,76%,82%,,,,
AL: Washington,30%,40%,6.8,38%,5%,18%,4%,40%,17%,58%,0.15,8.0%,"$36,300",27%,41,10%,87%,52%,89%,69%,86%,,,,
AL: Wilcox,41%,45%,4.5,44%,1%,20%,24%,44%,15%,41%,,14.7%,"$31,900",64%,72,10%,87%,43%,70%,63%,79%,,,,
AL: Winston,19%,38%,7,38%,76%,19%,2%,39%,16%,51%,0.12,4.7%,"$46,500",29%,24,10%,76%,48%,80%,71%,78%,,,,
AZ: Apache,27%,37%,2.7,29%,16%,24%,35%,40%,24%,54%,0.61,12.8%,"$36,300",38%,79,29%,77%,42%,80%,41%,81%,,,,
AZ: Cochise,26%,34%,6.5,27%,57%,14%,16%,35%,13%,66%,0.24,7.0%,"$51,200",29%,366,14%,79%,24%,69%,83%,89%,,,,
AZ: Coconino,23%,28%,6.7,21%,77%,15%,13%,33%,17%,72%,0.23,9.7%,"$57,100",32%,498,24%,70%,16%,61%,79%,91%,,,,
AZ: Gila,14%,31%,6.3,27%,82%,18%,11%,40%,17%,52%,0.39,7.7%,"$49,300",28%,303,17%,78%,19%,75%,72%,87%,,,,
AZ: Graham,33%,37%,6.4,30%,45%,15%,16%,36%,14%,51%,0.27,6.3%,"$55,400",24%,36,17%,78%,20%,71%,79%,85%,,,,
AZ: Greenlee,60%,36%,7.1,27%,45%,12%,14%,35%,9%,55%,0.1,5.5%,"$67,500",22%,4,8%,84%,15%,51%,86%,85%,,,,
AZ: La Paz,12%,37%,4.6,32%,35%,19%,26%,39%,24%,37%,0.09,7.1%,"$41,600",42%,50,16%,81%,15%,72%,64%,80%,,,,
AZ: Maricopa,23%,31%,8,25%,89%,12%,6%,35%,15%,67%,0.2,7.4%,"$71,800",25%,17044,18%,74%,39%,63%,89%,88%,,,,
AZ: Mohave,22%,32%,5.7,31%,54%,17%,19%,39%,15%,51%,0.1,10.0%,"$46,700",31%,445,16%,78%,20%,70%,82%,86%,,,,
AZ: Navajo,20%,38%,4.2,28%,55%,21%,26%,37%,20%,52%,0.38,10.1%,"$46,700",35%,304,24%,75%,28%,70%,65%,84%,,,,
AZ: Pima,25%,31%,7.4,23%,84%,13%,9%,35%,15%,68%,0.18,7.7%,"$56,600",30%,4761,18%,75%,35%,64%,88%,89%,,,,
AZ: Pinal,20%,35%,7.1,31%,59%,12%,14%,40%,14%,54%,0.09,7.5%,"$67,000",23%,884,15%,77%,53%,77%,87%,87%,,,,
AZ: Santa Cruz,14%,37%,6.2,32%,57%,15%,18%,35%,20%,56%,0.33,11.4%,"$44,400",26%,66,20%,80%,21%,68%,78%,78%,,,,
AZ: Yavapai,15%,28%,6.9,24%,84%,14%,13%,33%,16%,61%,0.06,7.5%,"$58,900",22%,527,17%,76%,28%,73%,85%,92%,,,,
AZ: Yuma,19%,38%,6.3,30%,82%,18%,10%,34%,21%,55%,0.16,17.1%,"$54,300",30%,678,19%,79%,22%,69%,81%,75%,,,,
AR: Arkansas,39%,37%,5.3,34%,55%,16%,24%,36%,11%,52%,0.09,4.0%,"$51,200",29%,88,12%,87%,19%,66%,71%,86%,,,,
AR: Ashley,35%,39%,6.7,36%,37%,16%,9%,37%,13%,51%,0.05,9.3%,"$44,700",25%,67,13%,84%,26%,77%,65%,85%,,,,
AR: Baxter,32%,32%,7.1,28%,46%,16%,6%,32%,12%,63%,0.03,5.9%,"$44,800",20%,75,11%,81%,15%,77%,78%,89%,,,,
AR: Benton,28%,30%,7.9,27%,74%,12%,7%,33%,13%,64%,0.12,4.5%,"$78,700",18%,662,12%,83%,22%,66%,78%,90%,,,,
AR: Boone,16%,32%,6.8,34%,49%,16%,9%,35%,12%,60%,0.06,5.3%,"$48,200",17%,206,12%,83%,22%,72%,83%,88%,,,,
AR: Bradley,28%,38%,6.4,37%,65%,17%,10%,38%,16%,42%,0.02,5.8%,"$41,600",32%,29,14%,85%,35%,63%,70%,83%,,,,
AR: Calhoun,29%,39%,5.7,34%,4%,14%,25%,37%,11%,50%,0.01,5.2%,"$50,900",25%,11,11%,90%,30%,84%,68%,84%,,,,
AR: Carroll,36%,34%,7.4,33%,45%,14%,7%,35%,18%,42%,0.08,5.7%,"$45,400",12%,94,14%,79%,26%,75%,74%,86%,,,,
AR: Chicot,23%,45%,5.1,39%,27%,21%,16%,41%,11%,47%,0.07,10.3%,"$36,000",42%,41,15%,84%,25%,67%,71%,78%,,,,
AR: Clark,43%,40%,6.5,32%,54%,17%,11%,36%,11%,56%,0.03,5.9%,"$46,500",34%,75,13%,77%,24%,59%,71%,89%,,,,
AR: Clay,23%,38%,6.1,35%,29%,20%,7%,36%,12%,55%,0.05,6.0%,"$43,700",30%,33,12%,81%,34%,67%,72%,84%,,,,
AR: Cleburne,34%,36%,7,32%,24%,16%,7%,34%,12%,42%,0.04,7.6%,"$50,000",21%,94,10%,85%,34%,78%,79%,87%,,,,
AR: Cleveland,20%,39%,6.8,35%,1%,17%,8%,36%,10%,53%,0.11,6.1%,"$57,700",28%,8,8%,87%,49%,78%,65%,90%,,,,
AR: Columbia,33%,43%,6.5,37%,43%,18%,9%,39%,12%,58%,0.12,6.8%,"$44,900",27%,76,15%,85%,21%,69%,66%,87%,,,,
AR: Conway,38%,35%,6.3,32%,28%,18%,10%,35%,11%,53%,0.07,6.0%,"$47,000",26%,45,11%,79%,39%,70%,71%,87%,,,,
AR: Craighead,26%,40%,6.8,33%,56%,16%,9%,35%,12%,62%,0.22,5.3%,"$51,800",31%,450,15%,84%,16%,57%,82%,89%,,,,
AR: Crawford,36%,38%,6.3,33%,55%,17%,13%,35%,13%,54%,0.08,5.4%,"$54,500",26%,234,13%,88%,24%,76%,77%,85%,,,,
AR: Crittenden,26%,43%,6.6,38%,68%,16%,11%,40%,12%,56%,0.16,8.3%,"$47,500",46%,624,17%,81%,30%,57%,80%,84%,,,,
AR: Cross,13%,39%,6.2,35%,36%,17%,15%,37%,12%,49%,0.05,6.1%,"$40,600",38%,115,13%,84%,30%,66%,76%,81%,,,,
AR: Dallas,33%,41%,5.1,36%,,16%,27%,38%,10%,50%,0.06,5.3%,"$34,600",33%,46,7%,86%,37%,71%,61%,87%,,,,
AR: Desha,36%,43%,5.4,41%,48%,19%,17%,40%,13%,41%,0.06,7.0%,"$37,400",44%,62,12%,84%,18%,62%,63%,80%,,,,
AR: Drew,28%,39%,6.8,34%,57%,16%,9%,37%,10%,65%,0.02,6.9%,"$46,800",26%,68,14%,82%,28%,67%,71%,87%,,,,
AR: Faulkner,19%,37%,6.7,33%,44%,15%,12%,36%,11%,66%,0.14,5.4%,"$57,400",21%,441,16%,84%,39%,62%,84%,92%,,,,
AR: Franklin,10%,37%,6.7,35%,58%,20%,2%,36%,13%,61%,0.03,5.6%,"$47,300",18%,76,14%,83%,40%,73%,68%,86%,,,,
AR: Fulton,10%,37%,6.5,35%,37%,19%,6%,36%,13%,61%,0.06,5.1%,"$39,800",18%,23,15%,81%,35%,83%,54%,84%,,,,
AR: Garland,22%,36%,6.4,32%,71%,17%,11%,35%,14%,62%,0.11,8.0%,"$46,500",33%,512,15%,81%,24%,67%,80%,89%,,,,
AR: Grant,7%,35%,6.6,30%,22%,16%,12%,34%,9%,54%,0.03,5.2%,"$62,100",24%,46,14%,81%,50%,76%,79%,90%,,,,
AR: Greene,17%,34%,6.7,34%,29%,18%,7%,34%,10%,50%,0.06,6.0%,"$53,800",28%,167,11%,83%,31%,67%,81%,89%,,,,
AR: Hempstead,31%,39%,6.1,38%,57%,16%,16%,37%,15%,58%,0.18,5.2%,"$42,800",35%,140,14%,83%,26%,68%,76%,84%,,,,
AR: Hot Spring ,24%,37%,6.3,32%,18%,18%,11%,35%,11%,52%,0.18,5.8%,"$49,600",25%,77,12%,83%,44%,79%,71%,87%,,,,
AR: Howard,47%,42%,6.2,37%,9%,16%,16%,38%,16%,49%,0.14,5.0%,"$40,600",39%,21,13%,82%,26%,67%,74%,86%,,,,
AR: Independence,39%,35%,6.9,33%,43%,17%,6%,34%,12%,61%,0.1,5.8%,"$50,800",21%,184,13%,84%,16%,73%,61%,86%,,,,
