County,Alcohol-Impaired Driving Deaths %,Adult Obesity %,Food Environment Index (0-10),Physically Inactive Adults %,Access to Exercise Opportunities %,Food Insecure %,Limited Access to Healthy Foods %,Insufficient Sleep % (Avg Hours < 7),Uninsured Adults % (Age < 65),Some College % (Adults 25-44),School Segregation Index,Unemployment % (Age >= 16),Median Household Income,Children Single-Parent Households %,Annual Average Violent Crimes,Severe Housing Problems %,Drive Alone to Work %,Drive Alone Long Commute % (Minutes > 30),Homeowners %,Broadband Internet Access %,High School Completion % (Adults >= 25),,,,
IA: Appanoose,33%,38%,7.6,32%,51%,14%,5%,33%,8%,59%,0.06,5.3%,"$49,700",22%,28,15%,82%,23%,72%,75%,90%,,,,
IA: Audubon,33%,35%,8.9,29%,59%,9%,2%,34%,8%,77%,0.04,3.4%,"$56,300",27%,4,6%,78%,19%,75%,78%,90%,,,,
IA: Benton,14%,34%,9,26%,40%,8%,4%,31%,5%,69%,0.05,5.0%,"$72,300",14%,,7%,83%,40%,82%,83%,95%,,,,
IA: Black Hawk,20%,38%,8,29%,76%,10%,9%,35%,7%,72%,0.14,6.2%,"$56,100",24%,683,14%,80%,9%,66%,83%,92%,,,,
IA: Boone,43%,38%,9.1,27%,76%,8%,2%,32%,5%,70%,0.04,4.1%,"$70,700",14%,74,10%,83%,28%,78%,83%,94%,,,,
IA: Bremer,20%,34%,9.5,25%,74%,6%,1%,32%,4%,78%,0.05,3.9%,"$74,600",18%,94,9%,78%,27%,83%,86%,96%,,,,
IA: Buchanan,18%,37%,9,27%,62%,8%,3%,32%,6%,71%,0.06,4.6%,"$66,900",11%,10,10%,80%,32%,80%,81%,94%,,,,
IA: Buena Vista,14%,33%,8.7,33%,64%,8%,6%,33%,13%,48%,0.20,3.7%,"$61,200",16%,64,15%,69%,14%,65%,86%,78%,,,,
IA: Butler,50%,36%,9,27%,52%,9%,2%,33%,6%,73%,0.07,4.7%,"$54,800",15%,2,9%,84%,38%,77%,78%,94%,,,,
IA: Calhoun,60%,35%,8.3,29%,43%,9%,9%,33%,6%,65%,0.03,4.1%,"$62,000",21%,5,9%,85%,28%,79%,83%,94%,,,,
IA: Carroll,42%,36%,9.2,27%,63%,8%,2%,30%,6%,73%,0.05,4.0%,"$61,700",14%,13,8%,84%,12%,76%,81%,93%,,,,
IA: Cass,17%,37%,7.8,28%,72%,11%,9%,32%,9%,67%,0.07,3.9%,"$55,300",13%,32,8%,80%,16%,73%,79%,89%,,,,
IA: Cedar,36%,36%,9.1,25%,52%,7%,5%,31%,5%,65%,0.04,4.4%,"$68,600",13%,18,6%,82%,44%,80%,82%,95%,,,,
IA: Cerro Gordo,44%,35%,8.5,25%,85%,9%,5%,33%,6%,62%,0.05,5.2%,"$57,700",23%,58,10%,81%,13%,70%,82%,93%,,,,
IA: Cherokee,56%,37%,8.5,26%,67%,9%,6%,33%,6%,68%,0.04,3.8%,"$61,400",31%,21,5%,80%,16%,74%,81%,92%,,,,
IA: Chickasaw,25%,34%,9.1,28%,63%,8%,3%,32%,8%,65%,0.06,4.7%,"$63,900",9%,21,7%,83%,22%,82%,80%,94%,,,,
IA: Clarke,7%,39%,8.6,31%,52%,10%,3%,33%,9%,52%,0.07,5.4%,"$69,900",11%,13,12%,80%,37%,69%,76%,85%,,,,
IA: Clay,30%,36%,8.5,27%,72%,10%,5%,34%,7%,72%,0.02,4.5%,"$59,900",25%,25,11%,79%,18%,68%,82%,95%,,,,
IA: Clayton,38%,38%,8.7,30%,48%,10%,1%,34%,9%,56%,0.05,5.7%,"$56,300",17%,11,12%,78%,27%,73%,78%,90%,,,,
IA: Clinton,29%,36%,8,30%,62%,10%,8%,31%,6%,63%,0.09,6.7%,"$56,000",31%,232,11%,82%,26%,74%,79%,90%,,,,
IA: Crawford,8%,39%,7.6,35%,53%,11%,11%,36%,14%,46%,0.17,5.2%,"$56,700",28%,10,12%,82%,17%,69%,80%,82%,,,,
IA: Dallas,38%,30%,9.6,22%,74%,5%,2%,29%,5%,85%,0.12,3.6%,"$92,000",10%,154,9%,82%,23%,72%,90%,96%,,,,
IA: Davis,0%,36%,9,30%,41%,8%,3%,33%,12%,58%,0.02,4.0%,"$57,200",10%,10,14%,73%,32%,85%,65%,82%,,,,
IA: Decatur,14%,35%,8.2,30%,61%,12%,4%,33%,9%,59%,0.07,3.8%,"$46,400",14%,,14%,71%,37%,65%,79%,90%,,,,
IA: Delaware,0%,38%,9.2,28%,53%,7%,3%,32%,7%,63%,0.05,4.0%,"$66,400",9%,26,13%,82%,24%,83%,81%,91%,,,,
IA: Des Moines,43%,37%,7.8,28%,68%,12%,8%,35%,6%,68%,0.08,7.5%,"$55,200",36%,209,12%,84%,14%,70%,80%,92%,,,,
IA: Dickinson,33%,34%,9.1,25%,87%,8%,2%,31%,5%,75%,0.03,5.1%,"$67,500",16%,23,9%,81%,14%,78%,84%,96%,,,,
IA: Dubuque,19%,34%,8.7,25%,67%,8%,6%,31%,6%,74%,0.11,5.9%,"$66,000",23%,204,12%,82%,11%,73%,85%,93%,,,,
IA: Emmet,0%,37%,8,29%,75%,9%,11%,34%,8%,70%,0.03,5.0%,"$57,700",17%,39,12%,76%,19%,79%,82%,91%,,,,
IA: Fayette,29%,38%,8.8,29%,63%,10%,2%,33%,7%,63%,0.04,5.5%,"$53,300",17%,57,10%,79%,22%,74%,77%,92%,,,,
IA: Floyd,22%,38%,8,29%,69%,12%,6%,32%,8%,65%,0.05,6.0%,"$60,800",17%,28,10%,76%,24%,73%,80%,92%,,,,
IA: Franklin,20%,38%,8.7,30%,67%,8%,6%,34%,9%,58%,0.07,3.8%,"$59,600",20%,,9%,80%,21%,70%,75%,90%,,,,
IA: Fremont,33%,38%,6.6,28%,27%,9%,26%,32%,6%,68%,0.03,3.1%,"$62,200",18%,27,10%,81%,27%,77%,79%,94%,,,,
IA: Greene,50%,36%,8.7,28%,60%,9%,5%,33%,6%,67%,0.02,4.2%,"$54,900",18%,7,10%,81%,30%,73%,83%,93%,,,,
IA: Grundy,33%,35%,,24%,72%,6%,,30%,5%,74%,0.05,4.4%,"$71,800",13%,12,6%,83%,29%,82%,84%,95%,,,,
IA: Guthrie,0%,39%,9,28%,43%,8%,3%,33%,7%,71%,0.05,5.0%,"$65,300",20%,4,11%,82%,42%,81%,81%,94%,,,,
IA: Hamilton,21%,36%,9,27%,70%,8%,3%,31%,7%,71%,0.05,4.4%,"$61,700",17%,32,9%,84%,30%,75%,81%,94%,,,,
IA: Hancock,50%,36%,8.9,27%,36%,9%,3%,32%,6%,67%,0.06,4.7%,"$58,100",17%,13,9%,81%,22%,80%,80%,93%,,,,
IA: Hardin,21%,39%,8.9,28%,78%,9%,2%,30%,7%,66%,0.04,4.6%,"$58,500",25%,17,9%,83%,24%,74%,74%,93%,,,,
IA: Harrison,7%,38%,8.6,28%,41%,9%,6%,31%,6%,70%,0.06,4.0%,"$63,100",18%,5,8%,83%,50%,74%,77%,93%,,,,
IA: Henry,15%,33%,8,28%,63%,9%,10%,33%,6%,59%,0.05,5.3%,"$56,300",19%,43,8%,81%,20%,73%,78%,93%,,,,
IA: Howard,0%,36%,8.3,28%,71%,8%,10%,32%,7%,64%,0.03,4.5%,"$60,000",9%,6,7%,72%,28%,77%,79%,91%,,,,
IA: Humboldt,50%,35%,8.1,28%,55%,10%,7%,33%,7%,68%,0.02,4.2%,"$62,100",21%,6,8%,80%,19%,75%,78%,94%,,,,
IA: Ida,38%,36%,9.2,28%,71%,8%,0%,32%,6%,72%,0.06,3.6%,"$56,100",13%,12,6%,77%,20%,76%,81%,92%,,,,
IA: Iowa,21%,34%,9.3,26%,62%,7%,1%,32%,5%,71%,0.03,4.4%,"$67,800",19%,17,9%,82%,34%,80%,82%,94%,,,,
IA: Jackson,27%,36%,8.3,29%,56%,10%,7%,34%,6%,65%,0.08,6.1%,"$61,500",16%,16,9%,84%,39%,81%,80%,93%,,,,
IA: Jasper,23%,33%,8.8,28%,65%,9%,4%,32%,5%,60%,0.06,5.3%,"$63,500",22%,93,10%,82%,38%,75%,82%,94%,,,,
IA: Jefferson,11%,35%,8.3,28%,62%,10%,7%,34%,10%,79%,0.04,5.7%,"$52,800",19%,15,12%,71%,16%,70%,83%,92%,,,,
IA: Johnson,30%,29%,9,21%,87%,8%,2%,29%,7%,86%,0.11,4.8%,"$68,800",19%,391,19%,69%,20%,59%,89%,96%,,,,
IA: Jones,10%,40%,8.8,28%,65%,8%,5%,31%,7%,58%,0.04,5.7%,"$61,700",22%,,12%,75%,42%,79%,79%,94%,,,,
IA: Keokuk,14%,36%,8.2,29%,35%,10%,8%,32%,7%,65%,0.04,4.9%,"$54,800",14%,13,9%,80%,38%,78%,79%,93%,,,,
IA: Kossuth,10%,37%,8.6,29%,51%,10%,4%,33%,6%,69%,0.05,3.8%,"$65,000",15%,24,8%,78%,18%,74%,80%,94%,,,,
IA: Lee,38%,38%,7.4,30%,69%,11%,13%,35%,6%,65%,0.04,6.5%,"$58,600",21%,170,10%,84%,19%,74%,81%,93%,,,,
IA: Linn,26%,35%,8.7,24%,84%,8%,6%,31%,6%,75%,0.10,6.4%,"$69,600",23%,496,10%,83%,16%,74%,87%,95%,,,,
IA: Louisa,22%,34%,9.3,32%,44%,8%,0%,34%,10%,57%,0.25,5.0%,"$72,400",13%,18,12%,82%,34%,76%,81%,84%,,,,
IA: Lucas,50%,36%,8,28%,61%,10%,10%,35%,7%,61%,0.02,3.6%,"$48,700",17%,16,9%,84%,22%,76%,78%,93%,,,,
IA: Lyon,30%,36%,9.7,28%,37%,5%,2%,31%,8%,70%,0.06,2.5%,"$67,300",9%,14,7%,80%,25%,85%,85%,92%,,,,
IA: Madison,27%,37%,9.1,27%,36%,7%,4%,31%,6%,75%,0.04,5.7%,"$75,600",12%,18,9%,76%,48%,79%,82%,96%,,,,
IA: Mahaska,23%,34%,8,27%,71%,10%,8%,31%,7%,62%,0.03,4.8%,"$59,700",21%,60,13%,79%,19%,68%,83%,92%,,,,
IA: Marion,56%,35%,8.9,25%,73%,8%,3%,31%,5%,74%,0.05,4.2%,"$64,300",16%,69,11%,80%,25%,74%,82%,94%,,,,
IA: Marshall,43%,42%,8.1,31%,69%,9%,10%,33%,10%,54%,0.18,7.1%,"$64,300",20%,185,10%,78%,16%,72%,80%,85%,,,,
IA: Mills,52%,35%,8.9,26%,49%,8%,4%,33%,6%,69%,0.05,3.9%,"$76,000",15%,43,10%,80%,39%,79%,88%,94%,,,,
IA: Mitchell,50%,35%,8.7,29%,64%,7%,9%,32%,9%,72%,0.04,3.4%,"$67,100",20%,8,8%,78%,26%,80%,83%,92%,,,,
IA: Monona,35%,40%,8.2,30%,48%,11%,5%,32%,7%,62%,0.07,4.8%,"$58,100",19%,13,11%,78%,28%,74%,78%,93%,,,,
IA: Monroe,14%,36%,8.9,28%,67%,9%,2%,32%,7%,68%,0.01,5.2%,"$58,300",11%,7,9%,80%,38%,78%,74%,90%,,,,
IA: Montgomery,17%,36%,8.2,30%,77%,10%,7%,33%,7%,63%,0.05,4.7%,"$54,800",19%,23,10%,82%,19%,72%,79%,92%,,,,
IA: Muscatine,15%,39%,8.9,28%,71%,7%,6%,32%,8%,58%,0.09,6.0%,"$62,900",24%,185,12%,86%,18%,74%,83%,89%,,,,
IA: O'Brien,0%,36%,8.6,29%,58%,9%,5%,33%,7%,65%,0.05,3.4%,"$63,600",15%,31,11%,79%,24%,75%,83%,92%,,,,
IA: Osceola,63%,37%,8.4,29%,34%,8%,8%,33%,9%,57%,0.01,2.9%,"$63,700",20%,6,11%,77%,25%,77%,86%,88%,,,,
IA: Page,33%,37%,8.6,29%,76%,10%,3%,33%,7%,62%,0.03,5.0%,"$52,700",18%,41,10%,80%,17%,70%,80%,93%,,,,
IA: Palo Alto,33%,36%,8.6,25%,54%,8%,7%,33%,7%,70%,0.05,4.6%,"$63,200",16%,27,8%,76%,19%,76%,80%,93%,,,,
IA: Plymouth,19%,35%,9.1,27%,71%,8%,3%,32%,6%,69%,0.07,3.6%,"$72,300",13%,26,7%,80%,24%,77%,86%,94%,,,,
IA: Pocahontas,30%,36%,8.3,30%,58%,9%,8%,32%,8%,67%,0.04,3.5%,"$56,400",19%,8,7%,78%,29%,76%,81%,90%,,,,
IA: Polk,29%,35%,8.8,25%,85%,8%,5%,32%,7%,72%,0.13,6.0%,"$67,800",24%,"1,826",14%,81%,18%,67%,87%,92%,,,,
IA: Pottawattamie,15%,39%,8.1,31%,81%,9%,9%,34%,8%,65%,0.05,5.2%,"$61,600",27%,348,13%,84%,25%,69%,80%,90%,,,,
IA: Poweshiek,14%,37%,9.1,26%,61%,8%,1%,31%,6%,63%,0.03,4.9%,"$60,000",16%,37,11%,73%,26%,66%,80%,94%,,,,
IA: Ringgold,11%,35%,8.9,30%,43%,9%,3%,31%,8%,65%,,3.9%,"$53,500",24%,3,10%,79%,29%,75%,79%,93%,,,,
IA: Sac,8%,35%,9,27%,59%,8%,4%,32%,7%,71%,0.12,3.5%,"$54,100",19%,5,7%,85%,22%,79%,79%,93%,,,,
IA: Scott,20%,34%,8.8,25%,86%,9%,3%,35%,7%,71%,0.10,6.8%,"$67,000",26%,850,13%,86%,16%,70%,84%,94%,,,,
IA: Shelby,36%,35%,8.8,27%,44%,8%,6%,32%,7%,70%,0.03,3.6%,"$54,200",12%,,8%,79%,22%,75%,79%,92%,,,,
IA: Sioux,21%,34%,9.8,27%,75%,5%,0%,29%,8%,72%,0.04,2.7%,"$74,900",9%,15,9%,75%,11%,81%,90%,92%,,,,
IA: Story,18%,33%,8.2,22%,86%,9%,10%,32%,8%,87%,0.10,3.6%,"$61,300",16%,126,20%,71%,21%,54%,76%,97%,,,,
IA: Tama,57%,38%,8.5,30%,49%,9%,7%,34%,10%,59%,0.15,5.1%,"$58,300",22%,52,11%,79%,31%,76%,78%,91%,,,,
IA: Taylor,33%,36%,9.1,31%,57%,8%,1%,34%,10%,59%,0.16,3.7%,"$70,500",13%,3,10%,76%,28%,81%,79%,90%,,,,
IA: Union,25%,35%,8.1,28%,78%,11%,6%,34%,8%,64%,0.02,5.9%,"$48,900",18%,28,11%,78%,17%,72%,82%,91%,,,,
IA: Van Buren,29%,38%,8.1,30%,40%,10%,8%,34%,9%,57%,,4.6%,"$51,900",9%,9,10%,71%,25%,81%,72%,89%,,,,
IA: Wapello,18%,38%,6.5,30%,64%,11%,23%,32%,10%,61%,0.10,6.0%,"$49,100",26%,111,14%,84%,18%,68%,78%,88%,,,,
IA: Warren,30%,37%,9.1,23%,61%,7%,4%,30%,5%,74%,0.03,4.6%,"$82,200",17%,163,10%,82%,40%,80%,86%,96%,,,,
IA: Washington,17%,35%,8.9,27%,65%,8%,3%,34%,8%,61%,0.06,4.1%,"$65,100",15%,72,8%,78%,33%,69%,84%,92%,,,,
IA: Wayne,60%,41%,7,32%,35%,11%,17%,35%,9%,50%,,4.5%,"$52,000",17%,8,13%,77%,32%,80%,73%,89%,,,,
IA: Webster,30%,38%,7.6,28%,71%,11%,12%,34%,8%,65%,0.06,5.2%,"$58,400",24%,173,12%,81%,16%,68%,79%,91%,,,,
IA: Winnebago,0%,37%,8.9,28%,79%,9%,3%,32%,6%,71%,0.03,6.4%,"$52,700",22%,12,7%,80%,20%,78%,81%,94%,,,,
IA: Winneshiek,33%,35%,9.3,25%,66%,7%,2%,31%,6%,78%,0.05,4.9%,"$61,800",18%,9,10%,69%,18%,78%,81%,96%,,,,
IA: Woodbury,28%,40%,8.6,30%,89%,9%,5%,32%,10%,63%,0.12,5.3%,"$60,600",27%,364,12%,83%,13%,67%,81%,88%,,,,
IA: Worth,0%,35%,8.9,28%,30%,9%,2%,32%,6%,65%,0.02,5.4%,"$54,500",11%,7,6%,83%,32%,80%,80%,93%,,,,
IA: Wright,40%,43%,8.7,30%,77%,9%,4%,32%,8%,61%,0.02,4.0%,"$57,100",28%,10,9%,84%,19%,73%,75%,93%,,,,
KS: Allen,8%,38%,7.4,33%,59%,15%,4%,35%,12%,57%,0.04,5.4%,"$48,600",32%,37,11%,82%,18%,70%,77%,92%,,,,
KS: Anderson,31%,38%,7.7,31%,49%,14%,6%,34%,13%,57%,0.07,4.1%,"$53,900",23%,18,12%,75%,43%,72%,71%,89%,,,,
KS: Atchison,19%,37%,7.2,31%,67%,14%,9%,35%,10%,58%,0.05,6.9%,"$56,700",15%,48,11%,82%,26%,71%,75%,93%,,,,
KS: Barber,0%,37%,7.7,32%,45%,14%,3%,36%,16%,60%,0.03,3.4%,"$52,700",21%,13,9%,86%,28%,74%,76%,92%,,,,
KS: Barton,6%,37%,7.0,32%,64%,13%,13%,34%,16%,60%,0.14,4.6%,"$51,100",25%,100,11%,86%,11%,67%,80%,89%,,,,
KS: Bourbon,0%,40%,6.7,31%,42%,16%,11%,37%,13%,56%,0.02,5.6%,"$49,800",14%,77,13%,76%,21%,73%,80%,91%,,,,
KS: Brown,35%,41%,6.9,31%,55%,13%,14%,34%,13%,63%,0.04,4.5%,"$49,500",25%,21,10%,79%,17%,71%,77%,93%,,,,
KS: Butler,24%,35%,8.1,28%,64%,11%,7%,36%,10%,72%,0.05,6.5%,"$71,800",16%,119,13%,83%,36%,75%,83%,93%,,,,
KS: Chase,21%,35%,5.5,30%,67%,12%,32%,34%,13%,68%,0.02,5.5%,"$57,300",18%,4,10%,74%,32%,78%,76%,94%,,,,
KS: Chautauqua,0%,40%,5.9,34%,2%,16%,18%,36%,19%,61%,0.05,6.1%,"$43,200",23%,,11%,77%,35%,76%,67%,86%,,,,
KS: Cherokee,14%,37%,6.2,31%,30%,15%,18%,34%,13%,59%,0.04,5.2%,"$48,300",24%,63,10%,83%,21%,71%,73%,88%,,,,
KS: Cheyenne,0%,36%,7.9,30%,57%,11%,8%,34%,17%,72%,0.05,2.2%,"$50,600",26%,4,7%,75%,15%,79%,82%,93%,,,,
KS: Clark,0%,36%,5.2,30%,41%,12%,33%,33%,13%,76%,0.03,2.0%,"$58,400",27%,4,13%,75%,23%,77%,79%,94%,,,,
KS: Clay,13%,37%,7.7,27%,46%,12%,8%,33%,11%,73%,0.03,4.5%,"$53,100",14%,14,9%,85%,27%,72%,71%,94%,,,,
KS: Cloud,27%,37%,7.1,31%,74%,12%,14%,37%,11%,65%,0.05,4.1%,"$55,000",20%,37,9%,86%,17%,72%,76%,94%,,,,
KS: Coffey,0%,36%,6.6,27%,45%,13%,17%,34%,9%,70%,0.07,5.2%,"$59,100",23%,8,11%,82%,28%,76%,83%,93%,,,,
KS: Comanche,0%,36%,8.3,30%,46%,11%,3%,34%,15%,62%,0.03,3.5%,"$49,300",25%,,7%,84%,13%,70%,79%,96%,,,,
KS: Cowley,16%,40%,7.2,34%,59%,14%,10%,36%,13%,62%,0.08,6.5%,"$51,400",26%,117,11%,80%,22%,68%,80%,91%,,,,
KS: Crawford,19%,38%,6.5,31%,72%,16%,13%,35%,14%,69%,0.07,5.5%,"$46,700",27%,122,16%,86%,16%,60%,80%,93%,,,,
KS: Decatur,0%,35%,7.0,29%,,15%,10%,34%,15%,68%,,3.7%,"$48,200",10%,3,10%,73%,27%,74%,82%,94%,,,,
KS: Dickinson,22%,37%,7.8,31%,53%,13%,5%,37%,13%,66%,0.04,4.9%,"$56,800",12%,30,12%,78%,29%,73%,81%,92%,,,,
KS: Doniphan,43%,39%,7.5,31%,20%,13%,9%,36%,12%,69%,0.09,4.5%,"$57,000",12%,9,9%,85%,30%,77%,77%,92%,,,,
KS: Douglas,33%,29%,7.8,25%,88%,13%,5%,33%,11%,82%,0.05,6.1%,"$65,100",18%,259,19%,76%,29%,51%,89%,95%,,,,
KS: Edwards,50%,39%,8.4,33%,52%,10%,5%,34%,19%,71%,0.04,3.0%,"$51,800",7%,4,4%,80%,30%,78%,80%,87%,,,,
KS: Elk,33%,39%,5.8,36%,28%,16%,19%,35%,19%,54%,0.04,4.8%,"$46,000",21%,0,7%,79%,39%,81%,75%,88%,,,,
KS: Ellis,14%,36%,7.7,27%,69%,12%,8%,35%,12%,81%,0.05,3.5%,"$55,500",18%,86,12%,85%,6%,63%,87%,94%,,,,
KS: Ellsworth,6%,38%,7.6,28%,61%,11%,11%,37%,11%,60%,0.07,3.3%,"$53,400",17%,5,10%,83%,23%,79%,82%,92%,,,,
KS: Finney,8%,40%,8.0,36%,67%,9%,11%,34%,22%,52%,0.07,3.5%,"$65,000",25%,184,18%,82%,8%,64%,81%,72%,,,,
KS: Ford,7%,43%,8.2,38%,67%,10%,8%,36%,23%,47%,0.14,3.4%,"$54,400",18%,128,15%,80%,9%,63%,82%,74%,,,,
KS: Franklin,21%,36%,6.8,28%,51%,12%,18%,36%,11%,60%,0.03,5.4%,"$60,900",21%,80,10%,83%,37%,73%,74%,92%,,,,
KS: Geary,25%,37%,6.5,29%,70%,14%,16%,38%,10%,79%,0.01,6.9%,"$50,100",24%,182,18%,83%,12%,42%,85%,94%,,,,
KS: Gove,9%,35%,5.3,30%,41%,12%,33%,33%,17%,61%,,2.9%,"$57,700",9%,,9%,72%,18%,73%,75%,94%,,,,
KS: Graham,,38%,8.0,31%,63%,11%,7%,34%,14%,67%,0.00,4.6%,"$47,100",19%,3,9%,78%,12%,77%,78%,91%,,,,
KS: Grant,20%,39%,8.6,36%,78%,9%,6%,33%,21%,68%,0.01,4.1%,"$67,800",15%,15,8%,82%,10%,68%,81%,80%,,,,
KS: Gray,10%,38%,8.2,30%,48%,8%,12%,32%,20%,63%,0.03,2.2%,"$72,100",16%,10,7%,84%,21%,81%,83%,78%,,,,
KS: Greeley,50%,36%,8.3,29%,,11%,4%,34%,15%,72%,0.01,1.8%,"$66,100",29%,2,11%,74%,9%,64%,88%,86%,,,,
KS: Greenwood,9%,38%,6.3,31%,42%,14%,18%,34%,13%,65%,0.03,5.2%,"$50,400",29%,14,10%,81%,38%,77%,71%,92%,,,,
KS: Hamilton,0%,39%,8.2,34%,79%,10%,7%,34%,25%,32%,0.00,1.7%,"$61,300",10%,3,5%,69%,32%,77%,76%,77%,,,,
KS: Harper,17%,38%,7.1,33%,69%,14%,10%,35%,18%,53%,0.08,4.4%,"$48,300",24%,17,11%,82%,23%,71%,78%,91%,,,,
KS: Harvey,17%,33%,8.6,29%,75%,11%,1%,32%,13%,77%,0.05,5.3%,"$63,900",17%,132,10%,79%,33%,70%,81%,91%,,,,
KS: Haskell,17%,39%,8.5,35%,45%,8%,8%,34%,24%,45%,0.03,2.4%,"$66,100",11%,7,15%,78%,20%,78%,86%,72%,,,,
KS: Hodgeman,0%,34%,7.8,27%,53%,11%,9%,33%,16%,67%,,2.7%,"$60,400",14%,2,10%,82%,27%,79%,83%,89%,,,,
KS: Jackson,25%,38%,7.9,33%,38%,13%,6%,35%,13%,61%,0.10,5.4%,"$57,900",23%,22,12%,79%,43%,75%,82%,95%,,,,
KS: Jefferson,28%,34%,8.9,28%,32%,10%,0%,34%,11%,71%,0.05,4.9%,"$63,700",13%,37,9%,84%,48%,85%,86%,94%,,,,
KS: Jewell,20%,37%,6.9,32%,2%,14%,12%,36%,13%,65%,,3.1%,"$46,700",12%,,8%,77%,17%,83%,73%,94%,,,,
KS: Johnson,17%,31%,9.0,19%,92%,9%,2%,30%,8%,85%,0.10,5.1%,"$91,800",16%,887,11%,81%,24%,69%,94%,96%,,,,
KS: Kearny,0%,41%,8.2,38%,62%,12%,3%,35%,21%,33%,0.03,2.7%,"$66,700",24%,10,11%,80%,15%,71%,76%,78%,,,,
KS: Kingman,20%,36%,7.7,27%,38%,11%,11%,33%,11%,69%,0.11,5.2%,"$58,700",18%,13,7%,85%,36%,74%,74%,93%,,,,
KS: Kiowa,0%,38%,7.6,30%,35%,10%,13%,33%,17%,60%,0.08,3.3%,"$56,700",16%,1,10%,84%,15%,70%,72%,89%,,,,
KS: Labette,32%,36%,7.0,33%,62%,16%,7%,36%,15%,63%,0.08,5.6%,"$50,200",23%,88,12%,81%,17%,71%,78%,90%,,,,
KS: Lane,25%,38%,7.8,30%,,12%,7%,34%,14%,70%,,2.9%,"$60,500",0%,4,11%,84%,18%,72%,84%,96%,,,,
KS: Leavenworth,21%,37%,7.7,28%,80%,11%,11%,34%,10%,68%,0.06,5.8%,"$76,400",18%,330,12%,81%,36%,67%,86%,93%,,,,
KS: Lincoln,0%,37%,7.7,29%,1%,12%,10%,33%,15%,75%,0.03,2.9%,"$50,200",35%,1,12%,75%,26%,78%,73%,94%,,,,
KS: Linn,36%,38%,7.3,33%,41%,16%,5%,36%,14%,58%,0.04,7.0%,"$55,000",18%,10,16%,80%,54%,79%,64%,91%,,,,
KS: Logan,50%,37%,8.3,30%,75%,11%,5%,34%,12%,68%,0.05,2.5%,"$56,800",29%,4,10%,77%,21%,66%,85%,91%,,,,
KS: Lyon,35%,41%,7.9,34%,56%,12%,6%,36%,16%,67%,0.10,4.8%,"$56,300",21%,58,15%,79%,13%,58%,83%,88%,,,,
KS: Marion,16%,35%,7.7,26%,29%,11%,10%,33%,14%,66%,0.08,4.1%,"$53,700",19%,12,9%,75%,35%,80%,76%,91%,,,,
KS: Marshall,40%,36%,7.4,31%,7%,11%,13%,35%,10%,61%,0.06,3.1%,"$56,400",15%,15,9%,78%,17%,78%,77%,91%,,,,
KS: McPherson,22%,37%,7.9,27%,57%,11%,8%,33%,10%,73%,0.06,3.5%,"$68,900",15%,41,10%,82%,16%,69%,82%,91%,,,,
KS: Meade,25%,36%,7.5,32%,26%,9%,16%,33%,20%,56%,0.20,2.8%,"$52,600",19%,,7%,77%,15%,66%,84%,82%,,,,
KS: Miami,22%,38%,8.3,28%,58%,10%,7%,31%,9%,68%,0.02,5.0%,"$78,700",15%,67,13%,82%,51%,80%,76%,96%,,,,
KS: Mitchell,25%,36%,7.4,29%,17%,13%,9%,33%,12%,73%,0.04,2.7%,"$53,700",21%,11,12%,82%,10%,69%,79%,94%,,,,
KS: Montgomery,13%,41%,6.7,32%,64%,16%,10%,36%,16%,64%,0.07,7.3%,"$44,100",23%,159,13%,82%,19%,70%,78%,90%,,,,
KS: Morris,11%,35%,7.7,28%,59%,11%,10%,35%,13%,65%,0.02,3.9%,"$53,800",18%,6,8%,84%,34%,77%,81%,92%,,,,
KS: Morton,0%,38%,7.7,33%,86%,11%,9%,34%,18%,42%,0.05,3.0%,"$56,900",26%,13,10%,83%,17%,64%,78%,84%,,,,
KS: Nemaha,43%,32%,7.8,28%,35%,11%,9%,32%,9%,79%,0.06,3.0%,"$62,700",12%,12,9%,82%,14%,73%,80%,93%,,,,
KS: Neosho,15%,40%,7.1,33%,57%,16%,5%,36%,12%,69%,0.04,6.4%,"$56,100",22%,45,13%,78%,15%,74%,73%,92%,,,,
KS: Ness,20%,37%,7.8,30%,,11%,10%,34%,18%,72%,0.12,3.4%,"$55,300",16%,5,8%,75%,19%,85%,78%,92%,,,,
KS: Norton,38%,35%,7.9,31%,62%,11%,8%,35%,13%,62%,0.03,2.7%,"$47,500",7%,5,10%,77%,12%,77%,86%,90%,,,,
KS: Osage,21%,37%,7.6,31%,51%,14%,5%,34%,12%,61%,0.06,5.1%,"$55,300",19%,22,10%,79%,51%,76%,80%,91%,,,,
KS: Osborne,29%,36%,7.5,31%,39%,13%,8%,34%,15%,74%,,2.9%,"$47,800",25%,5,9%,76%,13%,77%,75%,95%,,,,
KS: Ottawa,25%,36%,7.7,30%,2%,11%,10%,34%,11%,61%,0.03,4.3%,"$60,600",24%,4,9%,83%,33%,79%,74%,95%,,,,
KS: Pawnee,17%,37%,7.9,30%,61%,11%,9%,36%,11%,51%,0.02,3.8%,"$53,800",24%,19,4%,82%,9%,62%,77%,91%,,,,
KS: Phillips,33%,38%,7.5,31%,32%,11%,11%,33%,13%,79%,0.07,3.4%,"$56,000",10%,8,9%,82%,16%,71%,85%,93%,,,,
